LOWERTRACED_RFNONE_SINGLE_VSM_MEDIAN.csv,Associated
0.03685,NO
0.0326,NO
0.0572,NO
0.1082,NO
0.03355,NO
0.0453,NO
0.02945,NO
0.03395,NO
0.08445,NO
0.5984499999999999,YES
0.0308,NO
0.6439999999999999,YES
0.12135,NO
0.11155,NO
0.11115,NO
0.0571,NO
0.0353,NO
0.05545,NO
0.03735,NO
0.10895,NO
0.05735,NO
0.51395,YES
0.5152,YES
0.5584,YES
0.595,YES
0.07865,NO
0.5107999999999999,YES
0.06025,NO
0.41859999999999997,YES
0.48719999999999997,YES
0.1681,NO
0.07895,NO
0.0574,NO
0.0556,NO
0.56235,YES
0.41285,YES
0.0682,NO
0.0528,NO
0.04905,NO
0.0529,NO
0.08985,NO
0.0763,NO
0.07755,NO
0.5055499999999999,YES
0.0383,NO
0.4213,YES
0.01705,NO
0.53495,YES
0.0206,NO
0.0606,NO
0.03845,NO
0.06175,NO
0.0401,NO
0.09515,NO
0.05595,NO
0.0504,NO
0.0443,NO
0.0767,NO
0.06655,NO
0.14325,NO
0.0756,NO
0.0833,NO
0.07325,NO
0.02545,NO
0.10935,NO
0.7187,YES
0.08015,NO
0.59075,YES
0.1025,NO
0.1084,NO
0.1068,NO
0.09595,NO
0.07665,NO
0.0634,NO
0.09735,NO
0.08775,NO
0.1101,NO
0.7132499999999999,YES
0.7026,YES
0.67265,YES
0.57855,YES
0.08295,NO
0.58635,YES
0.06255,NO
0.56515,YES
0.5907,YES
0.1678,NO
0.0831,NO
0.07535,NO
0.07205,NO
0.6717500000000001,YES
0.56215,YES
0.08655,NO
0.0476,NO
0.0682,NO
0.04435,NO
0.11445,NO
0.1044,NO
0.10375,NO
0.59615,YES
0.04635,NO
0.54105,YES
0.01555,NO
0.65405,YES
0.0203,NO
0.06255,NO
0.0455,NO
0.059000000000000004,NO
0.05265,NO
0.11005,NO
0.06755,NO
0.0664,NO
0.0362,NO
0.0122,NO
0.0702,YES
0.4024,YES
0.38185,YES
0.07150000000000001,YES
0.0413,NO
0.006500000000000001,NO
0.10515,YES
0.06975,NO
0.06625,YES
0.07215,NO
0.10825,NO
0.0967,NO
0.0967,NO
0.0286,NO
0.3509,YES
0.0278,NO
0.41545,YES
0.07085,NO
0.3625,YES
0.0261,NO
0.03385,NO
0.07195,NO
0.0247,NO
0.08575,YES
0.0482,NO
0.06715,YES
0.0772,NO
0.0366,NO
0.09875,NO
0.1291,NO
0.09885,NO
0.08505,NO
0.0842,NO
0.06125,NO
0.0729,NO
0.7014,YES
0.07885,NO
0.6452,YES
0.09935,NO
0.0878,NO
0.08445,NO
0.027000000000000003,NO
0.07345,NO
0.02735,NO
0.0541,NO
0.10095,NO
0.06465,NO
0.69485,YES
0.6806,YES
0.6395500000000001,YES
0.6447,YES
0.1113,NO
0.58765,YES
0.04895,NO
0.04925,NO
0.0387,NO
0.39844999999999997,YES
0.6173500000000001,YES
0.56155,YES
0.41154999999999997,YES
0.04425,NO
0.0302,NO
0.44839999999999997,YES
0.1299,NO
0.39799999999999996,YES
0.07295,NO
0.1126,NO
0.12855,NO
0.11875,NO
0.07265,NO
0.54725,YES
0.0705,NO
0.5661499999999999,YES
0.071,NO
0.56275,YES
0.10245,NO
0.1103,NO
0.1114,NO
0.0516,NO
0.41805,YES
0.0558,NO
0.4113,YES
0.07075,NO
0.03725,NO
0.11905,NO
0.095,NO
0.07735,NO
0.09985,NO
0.08265,NO
0.0768,NO
0.09995,NO
0.59445,YES
0.10225,NO
0.61735,YES
0.12595,NO
0.1018,NO
0.10165,NO
0.02665,NO
0.0525,NO
0.027999999999999997,NO
0.05565,NO
0.1128,NO
0.04945,NO
0.58895,YES
0.56725,YES
0.59005,YES
0.6504,YES
0.12025,NO
0.57785,YES
0.06655,NO
0.04745,NO
0.06695,NO
0.11199999999999999,NO
0.09835,NO
0.0718,NO
0.10395,NO
0.06695,NO
0.04835,NO
0.1099,NO
0.6364000000000001,YES
0.1172,NO
0.5518000000000001,YES
0.06655,NO
0.03675,NO
0.03235,NO
0.102,NO
0.06635,NO
0.08275,NO
0.155,NO
0.06545,NO
0.14095,NO
0.6671,YES
0.6298,YES
0.7120500000000001,YES
0.55415,YES
0.0965,NO
0.59865,YES
0.0863,NO
0.07195,NO
0.03845,NO
0.09765,NO
0.1171,NO
0.10235,NO
0.09115,NO
0.0842,NO
0.0602,NO
0.08755,NO
0.6789499999999999,YES
0.0914,NO
0.60415,YES
0.1126,NO
0.10205,NO
0.10035,NO
0.0249,NO
0.07075,NO
0.02575,NO
0.06035,NO
0.0956,NO
0.07,NO
0.7019,YES
0.6747,YES
0.63995,YES
0.63375,YES
0.1103,NO
0.60015,YES
0.0584,NO
0.03635,NO
0.0357,NO
0.054000000000000006,NO
0.1443,NO
0.07135,NO
0.04275,NO
0.03025,NO
0.0266,NO
0.07105,NO
0.68485,YES
0.03035,NO
0.58235,YES
0.1059,NO
0.1024,NO
0.10225,NO
0.04245,NO
0.05175,NO
0.0412,NO
0.04875,NO
0.0851,NO
0.0759,NO
0.6336,YES
0.63015,YES
0.622,YES
0.52785,YES
0.06875,NO
0.5214,YES
0.0495,NO
0.05345,NO
0.02255,NO
0.61975,YES
0.07155,YES
0.06135,YES
0.50735,YES
0.11185,NO
0.05325,NO
0.5283,YES
0.0487,NO
0.52945,YES
0.05295,NO
0.10655,NO
0.0748,NO
0.0737,NO
0.0451,NO
0.04965,YES
0.04375,NO
0.11845,YES
0.10645,NO
0.06605,YES
0.06355,NO
0.04,NO
0.15125,NO
0.06,NO
0.53495,YES
0.1258,NO
0.46904999999999997,YES
0.08995,NO
0.07735,NO
0.48975,YES
0.1078,NO
0.07675,NO
0.51795,YES
0.09135,NO
0.05485,NO
0.5824,YES
0.0955,NO
0.52905,YES
0.0764,NO
0.24320000000000003,NO
0.24014999999999997,NO
0.21239999999999998,NO
0.0855,NO
0.10949999999999999,NO
0.0699,NO
0.18365,NO
0.07255,NO
0.13185,NO
0.09955,NO
0.0892,NO
0.18835,NO
0.09585,NO
0.49970000000000003,YES
0.16795,NO
0.4537,YES
0.0399,NO
0.0182,NO
0.38375000000000004,YES
0.4747,YES
0.4466,YES
0.37065000000000003,YES
0.06165,NO
0.0237,NO
0.39995,YES
0.1264,NO
0.39039999999999997,YES
0.06475,NO
0.11825,NO
0.10305,NO
0.1024,NO
0.0228,NO
0.42475,YES
0.0221,NO
0.47000000000000003,YES
0.0612,NO
0.43065000000000003,YES
0.12985,NO
0.11555,NO
0.15675,NO
0.06775,NO
0.3815,YES
0.10794999999999999,NO
0.359,YES
0.0818,NO
0.0823,NO
0.50905,YES
0.0881,NO
0.08245,NO
0.52485,YES
0.08405,NO
0.0765,NO
0.5519000000000001,YES
0.0795,NO
0.5615,YES
0.0728,NO
0.1122,NO
0.0771,NO
0.06385,NO
0.08875,NO
0.1053,NO
0.0827,NO
0.17785,NO
0.0451,NO
0.13315,NO
0.1109,NO
0.0882,NO
0.19505,NO
0.10800000000000001,NO
0.516,YES
0.1792,NO
0.47695,YES
0.02335,NO
0.0092,NO
0.2172,YES
0.38835,YES
0.35255,YES
0.2163,YES
0.01945,NO
0.0049,NO
0.2502,YES
0.0576,NO
0.2117,YES
0.0497,NO
0.0855,NO
0.08665,NO
0.08925,NO
0.0316,NO
0.3726,YES
0.0307,NO
0.36665,YES
0.06735,NO
0.35059999999999997,YES
0.0075,NO
0.0357,NO
0.0349,NO
0.0175,NO
0.2236,YES
0.0189,NO
0.22185,YES
0.6512,YES
0.5241,YES
0.1817,NO
0.0774,NO
0.07295,NO
0.0753,NO
0.6197,YES
0.68465,YES
0.0702,NO
0.0379,NO
0.07585,NO
0.0335,NO
0.10655,NO
0.08,NO
0.0723,NO
0.5422,YES
0.0475,NO
0.62095,YES
0.013000000000000001,NO
0.64925,YES
0.01885,NO
0.051,NO
0.04635,NO
0.06295,NO
0.05965,NO
0.10885,NO
0.075,NO
0.0498,NO
0.042693559564817705,NO
0.0343435595648177,NO
0.3234,YES
0.0577,YES
0.0401,YES
0.32830000000000004,YES
0.044143559564817705,NO
0.0345935595648177,NO
0.44279999999999997,YES
0.0469,NO
0.35855000000000004,YES
0.03825,NO
0.1521,NO
0.09335,NO
0.1012,NO
0.04274355956481771,NO
0.05635,YES
0.0393935595648177,NO
0.1501,YES
0.04179355956481771,NO
0.09845,YES
0.06765,NO
0.0471,NO
0.15115,NO
0.05885,NO
0.3183,YES
0.13105,NO
0.35155000000000003,YES
0.0589,NO
0.0237,NO
0.6738500000000001,YES
0.6057,YES
0.59535,YES
0.58335,YES
0.1096,NO
0.05825,NO
0.61175,YES
0.10429999999999999,NO
0.6061000000000001,YES
0.0644,NO
0.11385,NO
0.08815,NO
0.0872,NO
0.0474,NO
0.571,YES
0.0441,NO
0.60835,YES
0.0984,NO
0.5737,YES
0.1167,NO
0.10229999999999999,NO
0.1602,NO
0.0761,NO
0.61195,YES
0.12705,NO
0.5668500000000001,YES
0.0671,NO
0.05495,NO
0.533,YES
0.08115,YES
0.0998,YES
0.43485,YES
0.11349999999999999,NO
0.0811,NO
0.4386,YES
0.09010000000000001,NO
0.46505,YES
0.08610000000000001,NO
0.07415,NO
0.0431,NO
0.03145,NO
0.1017,NO
0.0841,YES
0.09875,NO
0.1711,YES
0.08865,NO
0.1257,YES
0.1227,NO
0.10005,NO
0.21595,NO
0.12075000000000001,NO
0.4426,YES
0.19795000000000001,NO
0.399,YES
0.03619355956481771,NO
0.037343559564817705,NO
0.4397,YES
0.05455,YES
0.03325,YES
0.43204999999999993,YES
0.033943559564817705,NO
0.0285435595648177,NO
0.54645,YES
0.05015,NO
0.46519999999999995,YES
0.044000000000000004,NO
0.14295,NO
0.06315,NO
0.07485,NO
0.053093559564817705,NO
0.05155,YES
0.0515435595648177,NO
0.1533,YES
0.032693559564817704,NO
0.10735,YES
0.06385,NO
0.04065,NO
0.15675,NO
0.05475,NO
0.43599999999999994,YES
0.11845,NO
0.49815,YES
0.05755,NO
0.04525,NO
0.0514,YES
0.6233,YES
0.57755,YES
0.0771,YES
0.047,NO
0.0277,NO
0.10185,YES
0.09855,NO
0.0563,YES
0.0709,NO
0.1244,NO
0.13655,NO
0.12615,NO
0.0849,NO
0.5583,YES
0.0824,NO
0.58225,YES
0.0754,NO
0.57765,YES
0.0603,NO
0.08065,NO
0.08055,NO
0.0509,NO
0.076,YES
0.0593,NO
0.06035,YES
0.06005,NO
0.051500000000000004,NO
0.127,YES
0.47925,YES
0.4962,YES
0.12965,YES
0.04905,NO
0.0396,NO
0.14585,YES
0.0918,NO
0.15195,YES
0.0671,NO
0.0724,NO
0.0518,NO
0.0351,NO
0.09125,NO
0.46185,YES
0.0886,NO
0.6013999999999999,YES
0.0446,NO
0.5447,YES
0.08385,NO
0.07305,NO
0.14925,NO
0.0674,NO
0.12395,YES
0.1149,NO
0.11725,YES
0.044500000000000005,NO
0.0197,NO
0.06905,NO
0.1054,NO
0.0338,NO
0.04785,NO
0.04815,NO
0.02175,NO
0.1296,NO
0.06455,NO
0.03925,NO
0.0526,NO
0.70625,YES
0.6634,YES
0.6919,YES
0.0383,NO
0.03555,NO
0.03985,NO
0.02655,NO
0.07755,NO
0.0385,NO
0.02315,NO
0.03725,NO
0.0507,NO
0.02705,NO
0.08425,NO
0.02705,NO
0.10525,NO
0.55695,YES
0.6395,YES
0.1376,NO
0.08265,NO
0.0407,NO
0.03115,NO
0.6595,YES
0.55745,YES
0.0484,NO
0.07595,NO
0.02665,NO
0.0892,NO
0.08305,NO
0.0752,NO
0.0781,NO
0.6487499999999999,YES
0.02985,NO
0.58575,YES
0.0168,NO
0.68175,YES
0.04385,NO
0.05815,NO
0.0209,NO
0.0677,NO
0.0474,NO
0.07035,NO
0.04105,NO
0.0447,NO
0.0208,NO
0.00655,NO
0.06015,YES
0.5093,YES
0.50895,YES
0.0647,YES
0.0249,NO
0.00695,NO
0.09995,YES
0.05545,NO
0.06945,YES
0.0498,NO
0.09885,NO
0.0863,NO
0.09025,NO
0.0102,NO
0.47114999999999996,YES
0.0099,NO
0.5418000000000001,YES
0.05195,NO
0.50635,YES
0.0213,NO
0.01935,NO
0.0614,NO
0.01865,NO
0.06795,YES
0.0404,NO
0.05595,YES
0.6729,YES
0.5132,YES
0.17365,NO
0.07775,NO
0.0453,NO
0.0535,NO
0.613,YES
0.7092,YES
0.05555,NO
0.05085,NO
0.048499999999999995,NO
0.0529,NO
0.08705,NO
0.06865,NO
0.066,NO
0.5569,YES
0.0383,NO
0.6621,YES
0.01485,NO
0.67035,YES
0.01935,NO
0.03105,NO
0.038,NO
0.0633,NO
0.0363,NO
0.096,NO
0.0564,NO
0.04065,NO
0.0619,NO
0.03295,NO
0.04955,NO
0.1084,NO
0.04705,NO
0.0613,NO
0.03985,NO
0.04345,NO
0.09605,NO
0.60595,YES
0.04225,NO
0.59815,YES
0.12050000000000001,NO
0.1315,NO
0.1252,NO
0.0707,NO
0.04915,NO
0.0829,NO
0.06665,NO
0.1036,NO
0.07595,NO
0.56135,YES
0.5662,YES
0.57905,YES
0.59635,YES
0.0689,NO
0.5485,YES
0.059500000000000004,NO
0.5506,YES
0.3944,YES
0.14115,NO
0.0792,NO
0.0325,NO
0.0339,NO
0.4526,YES
0.59495,YES
0.04735,NO
0.05395,NO
0.03225,NO
0.05475,NO
0.08325,NO
0.0736,NO
0.07315,NO
0.43305,YES
0.0264,NO
0.55955,YES
0.01645,NO
0.5488500000000001,YES
0.031,NO
0.02385,NO
0.02285,NO
0.0637,NO
0.03405,NO
0.07135,NO
0.0402,NO
0.03845,NO
0.0711,NO
0.03065,NO
0.0742,NO
0.0889,NO
0.05125,NO
0.07725,NO
0.07645,NO
0.0549,NO
0.08765,NO
0.59035,YES
0.067,NO
0.6409,YES
0.1219,NO
0.11925,NO
0.1088,NO
0.04035,NO
0.0486,NO
0.0431,NO
0.04075,NO
0.1143,NO
0.0402,NO
0.5486,YES
0.5525,YES
0.56185,YES
0.63655,YES
0.09685,NO
0.55755,YES
0.0526,NO
