50Traced_NONETRACED_RFSMOTE_MULTI_VSM_88_RFSMOTE,Associated
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
0,0
0,1
1,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,1
0,1
1,0
1,0
1,0
0,0
1,1
1,1
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,1
1,1
1,0
1,0
0,0
1,0
1,1
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
0,1
1,0
0,0
1,0
1,0
0,0
1,1
1,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
1,1
1,1
1,1
0,1
0,0
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
0,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,1
0,0
1,1
0,0
0,0
1,0
1,0
1,0
0,0
1,0
1,0
0,0
0,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
0,0
1,1
1,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
1,0
0,1
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,1
1,1
1,1
1,1
1,0
1,1
1,0
1,0
0,0
1,1
1,1
1,1
0,1
1,0
0,0
1,1
0,0
0,1
1,0
1,0
1,0
1,0
0,0
0,1
0,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,1
1,0
0,1
1,0
0,0
0,1
0,0
1,0
1,1
0,0
1,0
1,1
1,0
0,1
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
0,0
0,1
1,0
1,0
1,0
1,0
0,0
0,1
1,0
1,1
1,0
1,1
1,0
1,0
0,0
1,0
0,1
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
0,0
1,1
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
0,1
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,1
0,0
0,1
1,1
1,1
1,0
1,0
0,0
1,0
1,1
1,1
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
1,1
0,0
1,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
1,0
0,0
1,0
0,0
0,1
0,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
0,1
0,0
1,1
1,0
0,0
0,1
1,1
1,1
1,1
1,0
1,0
1,1
1,0
1,1
0,0
1,0
1,0
1,0
0,0
0,1
0,0
1,1
1,0
0,1
0,0
0,0
1,0
1,0
1,1
1,0
1,1
0,0
1,0
1,1
1,1
1,1
1,1
0,0
1,0
0,1
0,0
1,1
1,0
0,0
0,0
0,0
1,0
1,1
1,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,1
1,1
1,1
1,1
0,0
1,0
0,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
1,0
1,1
0,0
0,1
1,0
0,0
1,0
1,0
1,1
1,0
0,1
0,0
0,0
0,1
1,1
1,1
0,1
0,0
0,0
1,1
1,0
0,1
0,0
1,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
1,0
0,0
0,0
0,0
0,1
1,0
1,1
1,0
0,0
0,1
1,1
1,1
1,1
1,0
1,0
1,1
1,0
1,1
0,0
1,0
0,0
0,0
1,0
1,1
1,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
1,1
1,0
0,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,0
1,1
1,1
1,1
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
1,1
1,0
0,0
1,0
0,0
1,1
1,1
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,1
1,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
0,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
0,0
0,1
1,1
0,1
1,0
0,0
0,0
1,0
1,1
1,1
0,0
1,0
0,0
0,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
1,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
1,1
0,1
1,0
0,0
1,0
0,0
1,1
1,1
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
1,1
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
0,1
1,0
