50Traced_NONETRACED_RFUNDER_MULTI_VSM_62_RFSMOTE,Associated
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
1,1
1,1
1,0
1,0
1,0
0,0
1,1
1,1
0,0
0,0
1,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
0,1
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,1
1,1
1,1
1,1
0,0
0,1
1,0
1,1
1,1
1,0
1,0
0,0
1,0
0,1
1,1
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,1
0,0
0,1
0,0
1,1
0,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
0,1
0,0
0,0
1,1
0,0
0,1
1,0
0,0
1,0
1,0
0,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
1,0
1,1
1,0
0,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
1,0
0,0
0,0
1,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
0,1
1,0
1,1
0,0
1,0
1,0
0,0
0,0
1,1
1,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
0,0
1,0
1,0
1,0
1,0
0,0
1,0
1,0
1,1
0,0
1,1
0,0
1,0
1,0
1,0
1,0
0,0
0,0
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
1,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
0,1
1,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,1
0,1
1,1
1,1
0,0
1,1
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
0,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
1,0
1,0
0,0
0,0
0,0
0,0
1,0
0,0
0,0
1,1
0,1
1,1
1,1
1,0
1,1
1,0
1,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
0,0
0,1
1,0
1,0
0,0
0,0
1,0
0,1
0,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
0,1
0,0
1,1
1,0
1,0
0,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
0,0
1,1
1,1
1,1
1,1
1,0
0,0
1,1
1,0
1,1
1,0
1,0
0,0
1,0
0,0
0,1
0,0
1,1
1,0
1,1
1,0
1,0
1,0
1,0
1,1
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,0
1,1
1,0
1,1
0,0
0,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
1,0
1,1
0,0
0,1
0,0
1,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
0,0
0,0
0,0
0,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
0,0
1,1
0,0
0,1
1,1
1,1
1,0
1,0
0,0
1,0
1,1
1,1
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
0,1
0,0
0,0
0,0
1,0
1,0
0,0
1,0
1,0
0,0
0,0
1,1
0,1
0,1
1,1
0,0
0,0
1,1
0,0
1,1
0,0
1,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
1,1
1,0
1,0
1,0
0,0
0,1
1,0
1,1
1,0
0,0
1,1
1,1
1,1
1,1
1,0
1,0
1,1
1,0
1,1
0,0
1,0
1,0
1,0
0,0
0,1
0,0
1,1
1,0
0,1
0,0
1,0
0,0
1,0
1,1
1,0
1,1
0,0
0,0
0,1
1,1
0,1
0,1
0,0
1,0
1,1
0,0
1,1
1,0
0,0
1,0
1,0
1,0
1,1
1,0
0,1
1,0
1,1
1,0
0,0
1,0
1,0
0,1
1,0
1,1
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
1,1
1,0
0,1
0,0
1,1
1,0
0,0
1,0
1,0
1,1
1,0
1,1
0,0
1,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
1,0
1,1
0,0
0,0
1,0
0,0
0,0
1,1
0,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
1,1
1,0
1,1
1,0
0,0
1,1
0,1
1,1
1,1
1,0
1,0
1,1
1,0
1,1
0,0
0,0
0,0
0,0
1,0
1,1
1,0
1,1
0,0
1,1
1,0
1,0
1,0
0,0
1,1
1,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
0,0
1,1
1,1
1,1
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
0,0
1,0
1,1
1,1
1,0
0,0
1,0
0,0
0,1
1,1
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
1,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
0,0
0,0
1,1
0,0
1,1
1,0
1,0
1,0
1,0
0,0
1,1
0,0
0,1
0,0
1,1
0,0
0,0
1,0
0,0
1,1
1,0
0,1
0,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
0,0
1,0
0,0
0,0
0,0
0,0
1,0
1,1
0,0
0,1
0,0
1,1
0,0
0,0
1,0
1,0
0,0
0,0
1,0
0,0
0,0
0,0
0,0
0,0
1,0
1,0
1,0
0,0
1,0
0,1
0,0
1,1
1,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,1
1,1
1,1
1,1
1,0
1,1
0,0
1,1
1,1
1,0
0,0
0,0
0,0
1,1
1,1
1,0
0,0
0,0
1,0
1,0
0,0
1,0
1,1
0,0
1,1
0,0
1,1
0,0
0,0
0,0
1,0
0,0
0,0
1,0
0,0
0,0
1,0
1,0
1,0
0,0
0,0
1,0
1,0
1,0
1,1
0,0
1,1
1,0
0,0
1,0
0,0
1,0
1,0
1,0
1,0
1,0
1,1
1,1
1,1
1,1
0,0
0,1
0,0
